,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
282,6,CA,Butte County,mth,3,2013,gcs_mn_all,1.5998825636565,all,All
284,6,CA,Butte County,mth,3,2015,gcs_mn_all,1.734781194765655,all,All
286,6,CA,Butte County,mth,3,2016,gcs_mn_all,1.846659709014229,all,All
288,6,CA,Butte County,mth,3,2017,gcs_mn_all,1.746863552157559,all,All
290,6,CA,Butte County,mth,3,2018,gcs_mn_all,1.773050962703238,all,All
292,6,CA,Butte County,mth,4,2009,gcs_mn_all,2.592407562310289,all,All
294,6,CA,Butte County,mth,4,2010,gcs_mn_all,2.432801304772886,all,All
296,6,CA,Butte County,mth,4,2011,gcs_mn_all,2.641672821972008,all,All
298,6,CA,Butte County,mth,4,2012,gcs_mn_all,2.637008857129101,all,All
300,6,CA,Butte County,mth,4,2013,gcs_mn_all,2.388312901040224,all,All
302,6,CA,Butte County,mth,4,2015,gcs_mn_all,2.787639248137665,all,All
304,6,CA,Butte County,mth,4,2016,gcs_mn_all,3.155465804663198,all,All
306,6,CA,Butte County,mth,4,2017,gcs_mn_all,3.015298977206907,all,All
308,6,CA,Butte County,mth,4,2018,gcs_mn_all,3.156280620317336,all,All
310,6,CA,Butte County,mth,5,2009,gcs_mn_all,3.260055252519759,all,All
312,6,CA,Butte County,mth,5,2010,gcs_mn_all,3.209634877947125,all,All
314,6,CA,Butte County,mth,5,2011,gcs_mn_all,3.299792571632107,all,All
316,6,CA,Butte County,mth,5,2012,gcs_mn_all,3.528255515447656,all,All
318,6,CA,Butte County,mth,5,2013,gcs_mn_all,3.533279204647842,all,All
320,6,CA,Butte County,mth,5,2015,gcs_mn_all,3.960799026865617,all,All
322,6,CA,Butte County,mth,5,2016,gcs_mn_all,4.139402047546831,all,All
324,6,CA,Butte County,mth,5,2017,gcs_mn_all,4.037537251393875,all,All
326,6,CA,Butte County,mth,5,2018,gcs_mn_all,4.148040601241739,all,All
328,6,CA,Butte County,mth,6,2009,gcs_mn_all,4.774703712519069,all,All
330,6,CA,Butte County,mth,6,2010,gcs_mn_all,4.595314493685017,all,All
332,6,CA,Butte County,mth,6,2011,gcs_mn_all,4.826149751757046,all,All
334,6,CA,Butte County,mth,6,2012,gcs_mn_all,4.87363781963096,all,All
336,6,CA,Butte County,mth,6,2013,gcs_mn_all,4.926303984343599,all,All
338,6,CA,Butte County,mth,6,2015,gcs_mn_all,4.537330074304954,all,All
340,6,CA,Butte County,mth,6,2016,gcs_mn_all,4.781647240145015,all,All
342,6,CA,Butte County,mth,6,2017,gcs_mn_all,4.877156564669635,all,All
344,6,CA,Butte County,mth,6,2018,gcs_mn_all,4.790020821541112,all,All
351,6,CA,Butte County,mth,7,2015,gcs_mn_all,6.424691731020312,all,All
353,6,CA,Butte County,mth,7,2016,gcs_mn_all,6.040074756480383,all,All
355,6,CA,Butte County,mth,7,2017,gcs_mn_all,6.322494083003129,all,All
357,6,CA,Butte County,mth,7,2018,gcs_mn_all,6.361107383824725,all,All
364,6,CA,Butte County,mth,8,2015,gcs_mn_all,7.369330912922532,all,All
366,6,CA,Butte County,mth,8,2016,gcs_mn_all,7.336602843889904,all,All
368,6,CA,Butte County,mth,8,2017,gcs_mn_all,7.098754093035747,all,All
370,6,CA,Butte County,mth,8,2018,gcs_mn_all,7.249418636360923,all,All
372,6,CA,Calaveras County,mth,3,2009,gcs_mn_all,1.922145527698046,all,All
374,6,CA,Calaveras County,mth,3,2010,gcs_mn_all,2.391573384712103,all,All
376,6,CA,Calaveras County,mth,3,2011,gcs_mn_all,2.12165839493187,all,All
378,6,CA,Calaveras County,mth,3,2012,gcs_mn_all,1.857071261174953,all,All
380,6,CA,Calaveras County,mth,3,2013,gcs_mn_all,1.841358607542736,all,All
382,6,CA,Calaveras County,mth,3,2015,gcs_mn_all,1.977972399379519,all,All
384,6,CA,Calaveras County,mth,3,2016,gcs_mn_all,1.678261209277257,all,All
386,6,CA,Calaveras County,mth,3,2017,gcs_mn_all,1.484905713482959,all,All
388,6,CA,Calaveras County,mth,3,2018,gcs_mn_all,1.26153864678944,all,All
390,6,CA,Calaveras County,mth,4,2009,gcs_mn_all,3.037531515454644,all,All
392,6,CA,Calaveras County,mth,4,2010,gcs_mn_all,3.037340688775731,all,All
